
2022-07-18 20:36:20.140333 msg - watchlist.py - watchlist_main40 --> (re)loading watchlist items
2022-07-18 20:36:55.249036 msg - watchlist.py - watchlist_main40 --> (re)loading watchlist items
2022-07-18 20:36:55.253036 msg - watchlist.py - watchlist_main3 --> searching for artist hanske
2022-07-18 20:36:55.958552 msg - common.py - searchSpotify3 --> Succesfully returning search results for artist hanske.
2022-07-18 20:36:59.588942 msg - watchlist.py - watchlist_main80 --> add artist 3GOF617SIAlZb6hHLEaZjH to watchlist --> starting.
2022-07-18 20:36:59.588942 msg - watchlist.py - watchlist_main40 --> (re)loading watchlist items
2022-07-18 20:36:59.590942 msg - common.py - getTracksFromArtist --> requesting albums from artist 3GOF617SIAlZb6hHLEaZjH.
2022-07-18 20:37:00.904941 msg - common.py - getTracksFromArtist6 --> Succesfully returned list of 5 tracks from artist 3GOF617SIAlZb6hHLEaZjH
2022-07-18 20:37:00.904941 msg - watchlist.py - watchlist_main82 --> grabbed artist 3GOF617SIAlZb6hHLEaZjH's tracks: 5
2022-07-18 20:37:01.048944 msg - watchlist.py - watchlist_main84 --> artist Hansken added to watchlist.
2022-07-18 20:37:01.049941 msg - common.py - getTrackInfo --> requesting track info for trackID: 4FWOQbFnu4RrptGCJKdtMe
2022-07-18 20:37:01.576214 msg - common.py - getTrackInfo --> requesting track info for trackID: 4FWOQbFnu4RrptGCJKdtMe
2022-07-18 20:37:02.064479 msg - common.py - getTrackInfo --> requesting track info for trackID: 4FWOQbFnu4RrptGCJKdtMe
2022-07-18 20:37:02.697318 msg - common.py - getTrackInfo --> requesting track info for trackID: 1qMdRQGd1horzfs1iCAU6m
2022-07-18 20:37:03.192315 msg - common.py - getTrackInfo --> requesting track info for trackID: 1qMdRQGd1horzfs1iCAU6m
2022-07-18 20:37:03.785317 msg - common.py - getTrackInfo --> requesting track info for trackID: 1qMdRQGd1horzfs1iCAU6m
2022-07-18 20:37:04.595795 msg - common.py - getTrackInfo --> requesting track info for trackID: 3T1oi6SDVQQooXe1XueY1B
2022-07-18 20:37:05.138866 msg - common.py - getTrackInfo --> requesting track info for trackID: 3T1oi6SDVQQooXe1XueY1B
2022-07-18 20:37:05.667865 msg - common.py - getTrackInfo --> requesting track info for trackID: 3T1oi6SDVQQooXe1XueY1B
2022-07-18 20:37:06.309868 msg - common.py - getTrackInfo --> requesting track info for trackID: 2LcTUChxkWLTpLP9VoHLwl
2022-07-18 20:37:06.853816 msg - common.py - getTrackInfo --> requesting track info for trackID: 2LcTUChxkWLTpLP9VoHLwl
